raw_line,datefrag,timefrag,thread,level,component,message,block_ids,ips,size,src_ip,dest_ip,_timestamp,block_id_list,trace_id,module,subcomponent,template,template_id
081109 205409 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,81109,205409,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,blk_4568434182693165548,10.251.111.130:50010,67108864,,,,['blk_4568434182693165548'],blk_4568434182693165548,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 205412 832 INFO dfs.DataNode$PacketResponder: Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,81109,205412,832,INFO,dfs.DataNode$PacketResponder,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,blk_-5704899712662113150,,67108864,,,,['blk_-5704899712662113150'],blk_-5704899712662113150,dfs.DataNode,PacketResponder,Received block <*> of size 67108864 from <*>,3
081109 205632 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,81109,205632,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,blk_-4794867979917102672,10.251.74.79:50010,67108864,,,,['blk_-4794867979917102672'],blk_-4794867979917102672,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 205739 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,81109,205739,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,blk_8763662564934652249,10.251.38.197:50010,67108864,,,,['blk_8763662564934652249'],blk_8763662564934652249,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 205742 1001 INFO dfs.DataNode$PacketResponder: Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,81109,205742,1001,INFO,dfs.DataNode$PacketResponder,Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,blk_-5861636720645142679,,67108864,,,,['blk_-5861636720645142679'],blk_-5861636720645142679,dfs.DataNode,PacketResponder,Received block <*> of size 67108864 from <*>,3
081109 205746 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,81109,205746,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,blk_7453815855294711849,10.251.74.134:50010,67108864,,,,['blk_7453815855294711849'],blk_7453815855294711849,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 205749 997 INFO dfs.DataNode$DataXceiver: Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,81109,205749,997,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,blk_-28342503914935090,"10.251.123.132:57542,10.251.123.132:50010",0,10.251.123.132:57542,10.251.123.132:50010,,['blk_-28342503914935090'],blk_-28342503914935090,dfs.DataNode,DataXceiver,Receiving block <*> src: <*> dest: <*>,4
081109 205754 952 INFO dfs.DataNode$PacketResponder: Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,81109,205754,952,INFO,dfs.DataNode$PacketResponder,Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,blk_8291449241650212794,,67108864,,,,['blk_8291449241650212794'],blk_8291449241650212794,dfs.DataNode,PacketResponder,Received block <*> of size 67108864 from <*>,3
081109 205858 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,81109,205858,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,blk_-5319073033164653435,,0,,,,['blk_-5319073033164653435'],blk_-5319073033164653435,dfs,FSNamesystem,BLOCK* NameSystem.allocateBlock: <*> <*>,5
081109 205931 13 INFO dfs.DataBlockScanner: Verification succeeded for blk_-4980916519894289629,81109,205931,13,INFO,dfs.DataBlockScanner,Verification succeeded for blk_-4980916519894289629,blk_-4980916519894289629,,0,,,,['blk_-4980916519894289629'],blk_-4980916519894289629,dfs,DataBlockScanner,Verification succeeded for blk_-4980916519894289629,6
081109 210022 1110 INFO dfs.DataNode$PacketResponder: Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,81109,210022,1110,INFO,dfs.DataNode$PacketResponder,Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,blk_-5974833545991408899,,67108864,,,,['blk_-5974833545991408899'],blk_-5974833545991408899,dfs.DataNode,PacketResponder,Received block <*> of size 67108864 from <*>,3
081109 210037 1084 INFO dfs.DataNode$DataXceiver: Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,81109,210037,1084,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,blk_-5009020203888190378,"10.251.199.19:52622,10.251.199.19:50010",0,10.251.199.19:52622,10.251.199.19:50010,,['blk_-5009020203888190378'],blk_-5009020203888190378,dfs.DataNode,DataXceiver,Receiving block <*> src: <*> dest: <*>,4
081109 210248 1138 INFO dfs.DataNode$PacketResponder: Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,81109,210248,1138,INFO,dfs.DataNode$PacketResponder,Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,blk_6921674711959888070,,67108864,,,,['blk_6921674711959888070'],blk_6921674711959888070,dfs.DataNode,PacketResponder,Received block <*> of size 67108864 from <*>,3
081109 210407 33 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,81109,210407,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,blk_5165786360127153975,10.250.7.244:50010,67108864,,,,['blk_5165786360127153975'],blk_5165786360127153975,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 210458 1278 INFO dfs.DataNode$DataXceiver: Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,81109,210458,1278,INFO,dfs.DataNode$DataXceiver,Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,blk_2937758977269298350,"10.251.194.129:37476,10.251.194.129:50010",0,10.251.194.129:37476,10.251.194.129:50010,,['blk_2937758977269298350'],blk_2937758977269298350,dfs.DataNode,DataXceiver,Receiving block <*> src: <*> dest: <*>,4
081109 210551 32 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,81109,210551,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,blk_673825774073966710,10.250.6.191:50010,67108864,,,,['blk_673825774073966710'],blk_673825774073966710,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 210637 1283 INFO dfs.DataNode$PacketResponder: Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,81109,210637,1283,INFO,dfs.DataNode$PacketResponder,Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,blk_-7526945448667194862,,67108864,,,,['blk_-7526945448667194862'],blk_-7526945448667194862,dfs.DataNode,PacketResponder,Received block <*> of size 67108864 from <*>,3
081109 210656 1334 INFO dfs.DataNode$PacketResponder: Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,81109,210656,1334,INFO,dfs.DataNode$PacketResponder,Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,blk_-2094397855762091248,,67108864,,,,['blk_-2094397855762091248'],blk_-2094397855762091248,dfs.DataNode,PacketResponder,Received block <*> of size 67108864 from <*>,3
081109 210712 1333 INFO dfs.DataNode$PacketResponder: Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,81109,210712,1333,INFO,dfs.DataNode$PacketResponder,Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,blk_-8523968015014407246,,67108864,,,,['blk_-8523968015014407246'],blk_-8523968015014407246,dfs.DataNode,PacketResponder,Received block <*> of size 67108864 from <*>,3
081109 210743 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,81109,210743,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,blk_8181993091797661153,10.251.89.155:50010,67108864,,,,['blk_8181993091797661153'],blk_8181993091797661153,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 210801 1357 INFO dfs.DataNode$DataXceiver: Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,81109,210801,1357,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,blk_-6276023454199613372,"10.251.65.237:34085,10.251.65.237:50010",0,10.251.65.237:34085,10.251.65.237:50010,,['blk_-6276023454199613372'],blk_-6276023454199613372,dfs.DataNode,DataXceiver,Receiving block <*> src: <*> dest: <*>,4
081109 210807 1408 INFO dfs.DataNode$PacketResponder: Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,81109,210807,1408,INFO,dfs.DataNode$PacketResponder,Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,blk_4755566011267050000,,67108864,,,,['blk_4755566011267050000'],blk_4755566011267050000,dfs.DataNode,PacketResponder,Received block <*> of size 67108864 from <*>,3
081109 210812 1395 INFO dfs.DataNode$PacketResponder: Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,81109,210812,1395,INFO,dfs.DataNode$PacketResponder,Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,blk_-3909548841543565741,,3542967,,,,['blk_-3909548841543565741'],blk_-3909548841543565741,dfs.DataNode,PacketResponder,Received block <*> of size <*> from <*>,3
081109 210921 1452 INFO dfs.DataNode$DataXceiver: Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,81109,210921,1452,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,blk_-6809181994368905854,"10.250.17.225:51754,10.250.17.225:50010",0,10.250.17.225:51754,10.250.17.225:50010,,['blk_-6809181994368905854'],blk_-6809181994368905854,dfs.DataNode,DataXceiver,Receiving block <*> src: <*> dest: <*>,4
081109 210935 1458 INFO dfs.DataNode$PacketResponder: Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,81109,210935,1458,INFO,dfs.DataNode$PacketResponder,Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,blk_8829027411458566099,,67108864,,,,['blk_8829027411458566099'],blk_8829027411458566099,dfs.DataNode,PacketResponder,Received block <*> of size <*> from <*>,3
081109 211029 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,81109,211029,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,blk_-29548654251973735,10.251.106.50:50010,67108864,,,,['blk_-29548654251973735'],blk_-29548654251973735,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 211038 1490 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-5073870177832699716 terminating,81109,211038,1490,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-5073870177832699716 terminating,blk_-5073870177832699716,,0,,,,['blk_-5073870177832699716'],blk_-5073870177832699716,dfs.DataNode,PacketResponder,PacketResponder <*> for block <*> terminating,1
081109 211216 1504 INFO dfs.DataNode$PacketResponder: Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,81109,211216,1504,INFO,dfs.DataNode$PacketResponder,Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,blk_-8241093737585222406,,67108864,,,,['blk_-8241093737585222406'],blk_-8241093737585222406,dfs.DataNode,PacketResponder,Received block <*> of size <*> from <*>,3
081109 211301 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,81109,211301,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,blk_-2480595760294717232,10.251.111.228:50010,67108864,,,,['blk_-2480595760294717232'],blk_-2480595760294717232,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size 67108864,2
081109 211353 1574 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_7791237942696729620 terminating,81109,211353,1574,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_7791237942696729620 terminating,blk_7791237942696729620,,0,,,,['blk_7791237942696729620'],blk_7791237942696729620,dfs.DataNode,PacketResponder,PacketResponder <*> for block <*> terminating,1
081109 211403 31 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,81109,211403,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,blk_2113880130496815041,10.251.202.134:50010,3549917,,,,['blk_2113880130496815041'],blk_2113880130496815041,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,2
081109 211453 1623 INFO dfs.DataNode$PacketResponder: Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,81109,211453,1623,INFO,dfs.DataNode$PacketResponder,Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,blk_1064470652608359218,,67108864,,,,['blk_1064470652608359218'],blk_1064470652608359218,dfs.DataNode,PacketResponder,Received block <*> of size <*> from <*>,3
081109 211528 29 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,81109,211528,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,blk_-1661553043410372067,10.251.110.8:50010,67108864,,,,['blk_-1661553043410372067'],blk_-1661553043410372067,dfs,FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,2
081109 211617 1635 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-1527267659500322006 terminating,81109,211617,1635,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-1527267659500322006 terminating,blk_-1527267659500322006,,0,,,,['blk_-1527267659500322006'],blk_-1527267659500322006,dfs.DataNode,PacketResponder,PacketResponder <*> for block <*> terminating,1
081109 211918 1777 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_4886940526690879848 terminating,81109,211918,1777,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_4886940526690879848 terminating,blk_4886940526690879848,,0,,,,['blk_4886940526690879848'],blk_4886940526690879848,dfs.DataNode,PacketResponder,PacketResponder <*> for block <*> terminating,1
081109 212029 1814 INFO dfs.DataNode$PacketResponder: Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,81109,212029,1814,INFO,dfs.DataNode$PacketResponder,Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,blk_-2452477352812192142,,67108864,,,,['blk_-2452477352812192142'],blk_-2452477352812192142,dfs.DataNode,PacketResponder,Received block <*> of size <*> from <*>,3
081109 212219 1885 INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-4229375751333894621 terminating,81109,212219,1885,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-4229375751333894621 terminating,blk_-4229375751333894621,,0,,,,['blk_-4229375751333894621'],blk_-4229375751333894621,dfs.DataNode,PacketResponder,PacketResponder <*> for block <*> terminating,1
081109 212220 1946 INFO dfs.DataNode$DataXceiver: Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,81109,212220,1946,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,blk_-774267833966018354,"10.251.38.53:51057,10.251.38.53:50010",0,10.251.38.53:51057,10.251.38.53:50010,,['blk_-774267833966018354'],blk_-774267833966018354,dfs.DataNode,DataXceiver,Receiving block <*> src: <*> dest: <*>,4
081109 212245 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,81109,212245,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,blk_2513940824125131775,,0,,,,['blk_2513940824125131775'],blk_2513940824125131775,dfs,FSNamesystem,BLOCK* NameSystem.allocateBlock: <*> <*>,5
081109 212317 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,81109,212317,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,blk_-1282453782148343691,,0,,,,['blk_-1282453782148343691'],blk_-1282453782148343691,dfs,FSNamesystem,BLOCK* NameSystem.allocateBlock: <*> <*>,5
